feature,value 1,value 2
Mean angle acceleration at peak - rhindlimb - lHindfingers (rad/s^2),-7.1±89.5,-128.9±70.2°
Mean angle at peak - rhindlimb - ankle (°),66.2±9.3,57.6±4.4°
Mean angle at peak - rhindlimb - knee (°),89.7±2.4,86.6±2.6°
Mean angle at peak - rhindlimb - lHindfingers (°),126.8±16.7,144.3±12.8°
Mean angle at peak - rhindlimb - lHindpaw (°),162.0±5.7,156.9±3.6°
Mean angle at stance - rhindlimb - hip (°),127.4±2.9,123.8±2.1°
Mean angle at stance - rhindlimb - lHindfingers (°),176.2±1.0,174.1±1.2°
Mean angle at stance - rhindlimb - lHindpaw (°),151.9±3.4,146.0±3.4°
Mean angle at swing - rhindlimb - lHindfingers (°),119.1±6.0,127.5±8.6°
Mean angle at touchdown - rhindlimb - hip (°),129.9±2.7,127.8±2.0°
Mean angle at touchdown - rhindlimb - lHindfingers (°),175.3±1.0,173.5±1.2°
Mean angle at touchdown - rhindlimb - lHindpaw (°),153.6±3.8,148.9±4.2°
Mean angle during stance - rhindlimb - knee (°),1.6±0.0,1.6±0.0°
Mean angle during stance - rhindlimb - lHindfingers (°),2.7±0.1,2.8±0.1°
Mean angle during stance - rhindlimb - lHindpaw (°),2.5±0.1,2.4±0.0°
Mean angle during swing - rhindlimb - hip (°),1.8±0.1,1.7±0.0°
Mean angle during swing - rhindlimb - lHindpaw (°),2.8±0.0,2.7±0.0°
Mean angle excursion - rhindlimb - ankle (°),85.47±8.97,67.16±8.46
Mean angle value - rhindlimb - lHindfingers (°),152.7±3.5,156.2±3.5°
Mean angle value - rhindlimb - lHindpaw (°),152.4±2.4,146.9±1.8°
Mean angle velocity - rhindlimb - ankle (rad/s),0.0±0.1,-0.1±0.1°
Mean angle velocity - rhindlimb - knee (rad/s),-0.0±0.0,-0.1±0.1°
Mean angle velocity - rhindlimb - lHindpaw (rad/s),0.0±0.1,0.1±0.1°
Mean angle velocity at peak - rhindlimb - ankle (rad/s),-21.4±7.8,-14.4±5.9°
Mean angle velocity at peak - rhindlimb - hip (rad/s),10.7±2.2,13.9±2.7°
Mean angle velocity at peak - rhindlimb - lHindpaw (rad/s),9.1±4.1,2.0±7.5°
Mean angle velocity at stance - rhindlimb - hip (rad/s),-6.1±2.8,-9.0±1.5°
Mean angle velocity at stance - rhindlimb - lHindpaw (rad/s),-7.2±4.7,-11.3±3.0°
Mean angle velocity at swing - rhindlimb - ankle (rad/s),1.8±4.7,0.8±2.3°
Mean angle velocity at swing - rhindlimb - knee (rad/s),0.5±2.0,-2.7±0.9°
Mean angle velocity at touchdown - rhindlimb - hip (rad/s),-5.0±2.8,-7.0±1.9°
Mean angle velocity at touchdown - rhindlimb - knee (rad/s),1.2±1.2,2.5±1.9°
Mean angle velocity during stance - rhindlimb - lHindpaw (rad/s),-0.4±1.2,0.7±0.9°
Mean phase acceleration during swing - rhindlimb - knee (rad/s^2),0.0±0.9,0.7±0.7°
Mean phase at peak - rhindlimb - lHindpaw (°),-53.1±16.8,-35.4±12.9°
Mean phase at stance - rhindlimb - ankle (°),-26.9±3.4,-30.8±3.4°
Mean phase at stance - rhindlimb - hip (°),-52.6±2.9,-56.2±2.1°
Mean phase at stance - rhindlimb - knee (°),-141.2±2.9,-143.4±2.3°
Mean phase at stance - rhindlimb - lHindpaw (°),1.2±1.6,3.2±2.2°
Mean phase at swing - rhindlimb - ankle (°),-103.9±5.4,-97.2±7.5°
