feature,value 1,value 2
Mean angle acceleration - rhindlimb - ankle (rad/s^2),-90.9±21.9,-77.6±10.6°
Mean angle acceleration - rhindlimb - hip (rad/s^2),-144.5±28.8,-127.9±14.5°
Mean angle acceleration - rhindlimb - knee (rad/s^2),-129.1±26.1,-112.4±13.0°
Mean angle acceleration - rhindlimb - lHindfingers (rad/s^2),142.4±44.1,164.9±18.7°
Mean angle acceleration - rhindlimb - lHindpaw (rad/s^2),144.8±42.4,175.2±23.7°
Mean angle acceleration during swing - rhindlimb - knee (rad/s^2),0.1±1.1,-0.3±0.4°
Mean angle acceleration during swing - rhindlimb - lHindpaw (rad/s^2),-0.2±1.0,0.2±0.7°
Mean angle at peak - rhindlimb - ankle (°),66.2±9.3,56.7±4.2°
Mean angle at peak - rhindlimb - knee (°),89.7±2.4,85.7±1.5°
Mean angle at peak - rhindlimb - lHindfingers (°),126.8±16.7,146.9±11.7°
Mean angle at peak - rhindlimb - lHindpaw (°),162.0±5.7,157.7±3.7°
Mean angle at stance - rhindlimb - lHindfingers (°),176.2±1.0,174.4±1.2°
Mean angle at swing - rhindlimb - ankle (°),96.5±5.3,86.6±4.8°
Mean angle at swing - rhindlimb - lHindfingers (°),119.1±6.0,129.1±4.2°
Mean angle at touchdown - rhindlimb - lHindfingers (°),175.3±1.0,174.1±1.1°
Mean angle during stance - rhindlimb - lHindfingers (°),2.7±0.1,2.8±0.0°
Mean angle during stance - rhindlimb - lHindpaw (°),2.5±0.1,2.5±0.0°
Mean angle during swing - rhindlimb - ankle (°),1.1±0.1,1.1±0.0°
Mean angle during swing - rhindlimb - knee (°),1.6±0.0,1.5±0.0°
Mean angle during swing - rhindlimb - lHindfingers (°),2.6±0.1,2.7±0.1°
Mean angle during swing - rhindlimb - lHindpaw (°),2.8±0.0,2.7±0.0°
Mean angle excursion - rhindlimb - ankle (°),85.47±8.97,60.67±7.15
Mean angle excursion - rhindlimb - lHindfingers (°),111.60±13.37,95.88±9.07
Mean angle excursion - rhindlimb - lHindpaw (°),61.68 (median),58.67 (median)
Mean angle value - rhindlimb - ankle (°),65.4±3.0,62.9±1.6°
Mean angle value - rhindlimb - hip (°),100.0±3.6,102.5±2.5°
Mean angle value - rhindlimb - lHindfingers (°),152.7±3.5,158.9±2.3°
Mean angle value - rhindlimb - lHindpaw (°),152.4±2.4,149.4±1.7°
Mean angle velocity - rhindlimb - hip (rad/s),0.1±0.1,0.1±0.0°
Mean angle velocity - rhindlimb - knee (rad/s),-0.0±0.0,-0.1±0.0°
Mean angle velocity at peak - rhindlimb - ankle (rad/s),-21.4±7.8,-13.6±6.4°
Mean angle velocity at peak - rhindlimb - lHindpaw (rad/s),9.1±4.1,3.6±3.9°
Mean angle velocity at stance - rhindlimb - hip (rad/s),-6.1±2.8,-8.1±1.5°
Mean angle velocity at swing - rhindlimb - ankle (rad/s),1.8±4.7,-0.2±2.6°
Mean angle velocity at swing - rhindlimb - knee (rad/s),0.5±2.0,-2.8±1.7°
Mean angle velocity at touchdown - rhindlimb - knee (rad/s),1.2±1.2,2.4±1.3°
Mean angle velocity during stance - rhindlimb - lHindpaw (rad/s),-0.4±1.2,0.5±1.0°
Mean angle velocity during swing - rhindlimb - ankle (rad/s),0.1±0.9,-0.8±1.1°
Mean phase acceleration - rhindlimb - ankle (rad/s^2),-62.7±93.4,-26.1±42.2°
Mean phase acceleration - rhindlimb - hip (rad/s^2),-26.7±87.0,9.4±37.8°
Mean phase acceleration - rhindlimb - knee (rad/s^2),87.8±54.8,119.5±26.9°
Mean phase acceleration at stance - rhindlimb - knee (rad/s^2),-159.2±88.1,-32.3±68.9°
Mean phase acceleration at touchdown - rhindlimb - knee (rad/s^2),-109.5±84.0,-5.1±68.2°
Mean phase acceleration during swing - rhindlimb - ankle (rad/s^2),0.1±1.0,-1.1±0.7°
Mean phase at peak - rhindlimb - lHindpaw (°),-53.1±16.8,-33.0±11.8°
Mean phase at swing - rhindlimb - ankle (°),-103.9±5.4,-93.0±4.6°
Mean phase at swing - rhindlimb - lHindpaw (°),-60.9±6.0,-50.9±4.2°
Mean phase during stance - rhindlimb - lHindpaw (°),-0.4±0.1,-0.3±0.1°
Mean phase during swing - rhindlimb - lHindpaw (°),-0.6±0.1,-0.4±0.1°
Mean phase excursion - rhindlimb - ankle (°),115.77±7.43,98.17±6.19
Mean phase excursion - rhindlimb - lHindpaw (°),122.37±13.31,109.63±7.89
Mean phase value - rhindlimb - ankle (°),-53.4±4.6,-49.8±3.1°
Mean phase value - rhindlimb - hip (°),-80.0±3.6,-77.5±2.5°
Mean phase value - rhindlimb - lHindpaw (°),-26.5±3.6,-19.3±2.6°
Mean phase velocity - rhindlimb - hip (rad/s),0.1±0.1,0.1±0.0°
Mean phase velocity - rhindlimb - knee (rad/s),0.1±0.1,0.0±0.0°
Mean phase velocity at peak - rhindlimb - knee (rad/s),6.9±3.1,9.8±2.0°
Mean phase velocity at swing - rhindlimb - knee (rad/s),-0.6±1.5,-4.3±1.3°
Mean step acceleration X at peak - hip (m/s^2),-1.64±1.41,-0.62±1.10
Mean step acceleration X at peak - lHindfingers (m/s^2),8.83±6.22,-2.43±3.79
Mean step acceleration X at peak - lHindpaw (m/s^2),2.77±6.07,-2.22±2.50
Mean step acceleration X during stance - ankle (m/s^2),0.58±0.51,0.90±0.31
Mean step acceleration X during stance - lHindfingers (m/s^2),0.08±0.61,0.49±0.37
Mean step acceleration X during stance - lHindpaw (m/s^2),0.33±0.58,0.68±0.35
Mean step acceleration Y at peak - hip (m/s^2),-0.51±0.80,0.40±0.90
Mean step acceleration Y at stance - knee (m/s^2),-3.44 (median),-1.29 (median)
Mean step acceleration Y at swing - ankle (m/s^2),0.40±1.41,2.68±1.70
Mean step acceleration Y at swing - hip (m/s^2),-0.61±0.90,-1.50±0.94
Mean step acceleration Y at swing - lHindpaw (m/s^2),3.52 (median),6.00 (median)
Mean step acceleration Y at touchdown - lHindfingers (m/s^2),4.33±2.26,6.45±1.57
Mean step acceleration Y during stance - ankle (m/s^2),0.58±0.22,0.84±0.21
Mean step acceleration Y during stance - hip (m/s^2),0.15±0.17,-0.05±0.16
Mean step acceleration Y during swing - ankle (m/s^2),-0.85±0.35,-1.11±0.18
Mean step acceleration Y during swing - hip (m/s^2),-0.16±0.17,0.09±0.16
Mean step jerk X at swing - ankle (m/s^3),475.30±279.60,190.14±234.51
Mean step jerk X at swing - knee (m/s^3),437.93±359.32,69.43±250.37
Mean step jerk Y at peak - ankle (m/s^3),-119.96±454.95,609.88±443.05
Mean step jerk Y at peak - knee (m/s^3),-76.98±245.34,87.24±143.01
Mean step jerk Y at peak - lHindfingers (m/s^3),-935.93±467.40,329.52±208.16
Mean step jerk Y at peak - lHindpaw (m/s^3),-563.07±292.68,152.63±282.31
Mean step jerk Y at stance - lHindfingers (m/s^3),82.04 (median),-213.45 (median)
Mean step jerk Y at swing - ankle (m/s^3),-28.29±199.36,-324.90±236.26
Mean step jerk Y during stance - ankle (m/s^3),-30.56±24.92,-13.83±10.93
Mean step jerk Y during stance - lHindpaw (m/s^3),-26.90±25.92,-10.51±16.51
Mean step jerk Y during swing - ankle (m/s^3),31.13±21.12,10.05±15.77
Mean step jerk Y during swing - hip (m/s^3),-19.19 (median),-6.64 (median)
Mean step jerk Y during swing - knee (m/s^3),-43.11±29.70,-21.55±19.57
Mean step jerk Y during swing - lHindpaw (m/s^3),13.36±29.46,-5.81±19.99
Mean step velocity X at stance - ankle (m/s),0.09 (median),0.05 (median)
Mean step velocity X at stance - knee (m/s),0.16 (median),0.13 (median)
Mean step velocity X at stance - lHindpaw (m/s),0.07 (median),0.03 (median)
Mean step velocity X during stance - ankle (m/s),0.11 (median),0.08 (median)
Mean step velocity X during stance - knee (m/s),0.15±0.04,0.12±0.01
Mean step velocity X during stance - lHindfingers (m/s),0.03±0.01,0.01±0.00
Mean step velocity X during stance - lHindpaw (m/s),0.05±0.02,0.03±0.01
Mean step velocity X during swing - lHindfingers (m/s),0.52±0.08,0.46±0.03
Mean step velocity X during swing - lHindpaw (m/s),0.49±0.08,0.44±0.03
Mean step velocity Y at peak - ankle (m/s),-0.06±0.03,-0.11±0.03
Mean step velocity Y at peak - lHindfingers (m/s),0.07 (median),-0.01 (median)
Mean step velocity Y at peak - lHindpaw (m/s),0.04±0.02,-0.02±0.02
Mean step velocity Y at stance - lHindfingers (m/s),-0.08±0.03,-0.06±0.02
Mean step velocity Y at swing - ankle (m/s),0.05±0.02,0.10±0.02
Mean step velocity Y at swing - hip (m/s),0.01±0.01,-0.01±0.01
Mean step velocity Y at swing - lHindpaw (m/s),0.07±0.02,0.09±0.01
Mean step velocity Y at touchdown - hip (m/s),-0.02±0.01,-0.00±0.02
Mean step velocity Y during swing - ankle (m/s),-0.07±0.01,-0.06±0.01
Mean step velocity Y during swing - lHindpaw (m/s),-0.02 (median),-0.02 (median)
