Feature,Mean_Healthy,SD_Healthy,N_Healthy,Mean_Sick,SD_Sick,N_Sick,Mean_Treated,SD_Treated,N_Treated,p_ANOVA,p_Healthy_vs_Sick,p_Sick_vs_Treated,InjuryChange,TreatmentEffect,FinalEffect,EffectSize_Benefit,EffectSize_Harm
Number of runs (#),3.15,0.366347548532523,20,3.15,0.366347548532523,20,3.35,0.489360484929593,20,0.215856223351836,1,0.389401171349929,0,0,No effect,NaN,NaN
Number of steps (#),3.78413211788212,0.555387596558429,20,4.19414474414474,0.836063675739717,20,4.08457625707626,0.421280768992046,20,0.11134903728348,0.131020018389962,0.408374432550397,0,0,No effect,NaN,NaN
Number of steps std,0.880868418814953,0.407604849358243,20,0.62466475829854,0.29430989021053,20,0.720087676940142,0.410808838705,20,0.10108211629455,0.104635983942065,0.54097397380024,0,0,No effect,NaN,NaN
Mean step height (m),0.00357300622489776,0.000532795583176025,20,0.00393728635455814,0.000625558375882955,20,0.00357158093152981,0.000401526655300388,20,0.0488141010166569,0.0998220268561172,1,0,0,No effect,NaN,NaN
Mean step height std,0.000503879329052481,0.000250473858009259,20,0.000427732852838045,0.00027706954330876,20,0.000393614780917295,0.000204004260328464,20,0.354661739537639,0.993688113163434,0.483953323318794,0,0,No effect,NaN,NaN
Mean step length (m),0.060543019085938,0.0055475180021188,20,0.0594326680212292,0.0080609926355795,20,0.0563691261030429,0.0039471809094318,20,0.0895138268854888,1,0.103371022784594,0,0,No effect,NaN,NaN
Mean step length std,0.0069543184746076,0.00295166544290444,20,0.00485527239862585,0.00240330614260408,20,0.00400078857027502,0.00197953341030432,20,0.00125400503395312,0.0288436571463399,0.00116689121550538,1,1,Worsening,NaN,0.000854483828350834
Mean stride length (m),0.0570972154251396,0.00531825917359097,20,0.0575825139551177,0.00781809740013776,20,0.0542918793287419,0.00408953960093724,20,0.177216005748933,1,0.424028959801025,0,0,No effect,NaN,NaN
Mean stride length std,0.00695175765962393,0.0027843991251112,20,0.00480275392063757,0.00230704063857075,20,0.00397031073959532,0.00184630843188314,20,0.000538396745871364,0.0159154307635261,0.000514849445788541,1,1,Worsening,NaN,0.000832443181042247
Mean step duration (s),0.261889000235875,0.0471709218335345,20,0.236010693820069,0.0322538061589178,20,0.258051659798535,0.0232558947304096,20,0.0539512722168202,0.0758536019278044,1,0,0,No effect,NaN,NaN
