Dataset and Mouse and Run,Number of steps (#),Number of steps std,Mean step height (m),Mean step height std,Mean step length (m),Mean step length std,Mean step duration (s),Mean step duration std,Mean step frequency (Hz),Mean step frequency std,Mean propulsion vector angle (deg),Mean propulsion vector angle std,Time mean,Time std,Instant speed - Spine - X mean,Instant speed - Spine - X std,Instant speed - Spine - Y mean,Instant speed - Spine - Y std
postDLC - mouse1 - 0,5.0,,0.004801666259765624,0.0009772188981507371,0.06984413968599759,0.004134021582025331,0.1472085345822966,0.024984135076305744,7.000510501255199,0.024984135076305744,6.032872182447419,1.544503382822908,0.7763819095477387,0.4496925935584168,0.23896438774380238,0.058314211077886265,0.0008418938421433986,0.03457250786074721
postDLC - mouse1 - 1,4.0,,0.005866540762094349,0.0011511268486372388,0.06573725773737979,0.007356993784987035,0.13107202680067,0.029610532300600265,8.032791099174307,0.02961053230060027,7.121940491298596,1.0327497595628536,0.7839195979899497,0.45404450243523686,0.24507367578235997,0.08174409154931427,-0.00134709166105465,0.04286700422275471
postDLC - mouse1 - 2,6.0,,0.004637363140399632,0.0018028884013804203,0.038267006507286656,0.01725707442846224,0.08823679206845032,0.023604723255018768,12.459924922890181,0.023604723255018768,13.730744510830103,10.48911713088231,0.7437185929648242,0.4308343165236531,0.22984219730327468,0.07857579969480478,0.0013502432688071132,0.046817786335189855
postDLC - mouse2 - 0,3.0,,0.004859818678635812,0.0010290238869743373,0.0588468815730168,0.010874498593983354,0.09257022290941887,0.016661790054051016,11.122252270993693,0.016661790054051016,6.168369725548285,1.0932745105573525,0.5226130653266332,0.3031779523416755,0.3663803618782913,0.07007996404936867,4.2213334172602144e-05,0.04102826310157137
postDLC - mouse2 - 1,5.0,,0.004063518817608169,0.0015261827077937523,0.05288724576509914,0.028490194726496453,0.10500876475400256,0.039674901616434916,10.781866436033106,0.039674901616434916,17.411499920030106,26.16388015818544,0.5402010050251257,0.3133324665297522,0.3574307219685539,0.062391751657226116,0.0008148921294542844,0.04596595530033347
postDLC - mouse2 - 2,3.0,,0.006155364207732383,0.0006270944064680746,0.0726477324656951,0.005468742319345244,0.11314022687965573,0.024236832015177612,9.214295204548263,0.024236832015177612,4.771534168537321,0.3497210731741175,0.3090452261306533,0.17987212391050694,0.39368738447762,0.08089127685463499,-0.004072448448073872,0.06159169191258095
postDLC - mouse2 - 3,2.0,,0.004735981867863587,0.0011468799297626175,0.0729355680025541,0.0021232604980468694,0.08851073549566016,0.017702147099132065,11.768817204301072,0.017702147099132072,4.2943195349419945,1.0908288668582478,0.3869346733668341,0.22484278714770947,0.4811378721043134,0.06458680961744283,0.0029299729112951885,0.05424551986805848
postDLC - mouse3 - 0,4.0,,0.006150861886831421,0.0007118837476086369,0.056873409564678484,0.016946708852351645,0.14631625871291942,0.04759809737968255,7.989297205530557,0.04759809737968255,8.50427958796723,2.995605469192205,0.6231155778894473,0.3612036625267642,0.23901121578898096,0.07539759292464952,0.0010346469401871208,0.052503061294402534
postDLC - mouse3 - 1,2.0,,0.005436859130859367,0.00012791560246397382,0.04646391648512618,0.011232335017277634,0.12617435001092414,0.020187896001747863,8.133765522928087,0.020187896001747863,7.1419080571557485,0.33692802730777155,0.577889447236181,0.3350921168367873,0.21242662257790393,0.08875241156457625,0.0026287911409066207,0.04368153026490431
postDLC - mouse3 - 2,3.0,,0.004640608567457923,0.001045034671940951,0.04472444974459133,0.025468916985809057,0.11101340033500835,0.018880641336108044,9.29855681986085,0.01888064133610804,12.530298042115273,7.71967562979351,0.6030150753768845,0.3495985352949967,0.17131052788552711,0.11579653897849851,-0.003384883092025294,0.0431061720704898
postDLC - mouse3 - 3,4.0,,0.004946022033691419,0.00046233780440888987,0.06438849229079027,0.014542468476105285,0.12350395510676411,0.01039224187932101,8.150079308110993,0.01039224187932101,8.03275604748075,3.8822898909325287,0.7964824120603013,0.4612976829563182,0.24783429443941943,0.08388500404368873,9.656468431252565e-06,0.036687836147023895
postDLC - mouse3 - 4,5.0,,0.005571615365835336,0.00024810212243915977,0.06787539672851563,0.0166417134328528,0.12614512893686536,0.023666924031617256,8.313205715497052,0.023666924031617256,8.07342896417915,3.73336471610147,0.6105527638190955,0.3539504587499667,0.32446788584900377,0.08946722101856802,0.0016412738312588523,0.0560225417161972
