feature,importance,change_score,change_effect_size,combined_rank,direction
Mean angle excursion - rhindlimb - ankle (°),0.05706081017096822,-7.819830301572296,-0.8952815923125351,0.05108549298850773,away_from_healthy
Mean angle during swing - rhindlimb - lHindpaw (°)_sin,0.053810407313252054,0.0003718503328464656,0.4911584300656322,0.026429435177169093,towards_healthy
Mean angle value - rhindlimb - lHindpaw (°)_cos,0.03138812294089893,0.019220399984519854,0.7866744430284532,0.024692234132240285,towards_healthy
Mean phase excursion - rhindlimb - ankle (°),0.029125480173799612,-6.268267813674939,-0.8126368288558709,0.023668437847341055,away_from_healthy
Mean angle during swing - rhindlimb - lHindpaw (°)_cos,0.04628982491772473,1.757484351838645e-05,0.4818931132756821,0.022306747842588615,towards_healthy
Mean angle value - rhindlimb - lHindpaw (°)_sin,0.027936690858723315,0.030156226588191726,0.7260965749271652,0.020284735547318043,towards_healthy
Mean angle during stance - rhindlimb - lHindpaw (°)_sin,0.02484683190253343,0.0008774689725096485,0.7305315330797569,0.01815139420193276,towards_healthy
Mean angle velocity - rhindlimb - knee (rad/s)_cos,0.01923992060472498,0.0024083602985597308,0.8201546856905785,0.0157797110362799,towards_healthy
Mean angle during stance - rhindlimb - lHindpaw (°)_cos,0.02047714101045102,3.7544223580598945e-05,0.7185506503619062,0.014713862990612041,towards_healthy
Mean step acceleration X during stance - ankle (m/s^2),0.02324604243245415,0.2702405466155845,0.5704180534074758,0.01325996227374808,towards_healthy
Mean step acceleration Y during stance - knee (m/s^2),0.012819368315349014,0.389837973627539,1.020976494491187,0.01308827372419643,towards_healthy
Mean angle velocity - rhindlimb - knee (rad/s)_sin,0.019311011612797177,0.025719074141259665,0.6568039484489568,0.012683548675828844,towards_healthy
Mean step velocity Y during stance - lHindpaw (m/s),0.01054256289940062,0.005243139113181274,0.9396059975470118,0.009905855329793437,towards_healthy
Mean step acceleration X during stance - lHindpaw (m/s^2),0.020669401673850465,0.23155180512929635,0.40839421169915907,0.00844126400288544,towards_healthy
Mean phase value - rhindlimb - lHindpaw (°)_sin,0.006756095859639943,-0.06672526777395033,-0.9972312425744229,0.006737389869060654,away_from_healthy
Mean step acceleration Y during swing - ankle (m/s^2),0.012958302580643764,0.17479847641792157,0.48309775448704756,0.006260126878672716,towards_healthy
Mean angle value - rhindlimb - lHindfingers (°)_sin,0.005933718193562079,-0.06468287060084593,-1.038321399581079,0.00616110657945909,away_from_healthy
Mean step velocity X during stance - lHindpaw (m/s),0.009671327641235575,-0.009269240087424926,-0.6061569726936873,0.005862342684940135,away_from_healthy
Mean phase during stance - rhindlimb - lHindpaw (°)_sin,0.00841379546187212,-0.0007774903423892494,-0.6543030008625962,0.005505171619347022,away_from_healthy
Mean phase value - rhindlimb - lHindpaw (°)_cos,0.006660986240848869,-0.027100463305455236,-0.8187995352823645,0.005454012438529278,away_from_healthy
Mean step acceleration Y during stance - ankle (m/s^2),0.00999638947518473,0.18692678515513728,0.5399363799590392,0.0053974143458918825,towards_healthy
Mean step height (m),0.005513937479231094,0.00047666216148467165,0.9186197144447298,0.005065211672637361,towards_healthy
Mean step velocity X during stance - lHindfingers (m/s),0.019375981860899394,-0.00287173620807968,-0.2605402687723744,0.005048223521767379,away_from_healthy
Mean step jerk Y during stance - lHindfingers (m/s^3),0.006736165894143806,16.053499256804233,0.7385580107797024,0.004975049283060925,towards_healthy
