feature,importance,change_score,change_effect_size,combined_rank,direction
Mean step velocity X during stance - ankle (m/s),0.003771722553033233,-0.025349151907048187,-0.822962639551483,0.0031039867479000873,away_from_healthy
Mean step velocity X during stance - knee (m/s),0.0032528979953834187,-0.024852242229285587,-0.6674444961390482,0.002171128863520406,away_from_healthy
Mean step acceleration Y during swing - hip (m/s^2),0.0023279904436218036,-0.17723545446822947,-0.849357590616909,0.0019772963541738043,away_from_healthy
Mean angle excursion - rhindlimb - lHindfingers (°),0.0012067674283128761,-11.444365109710859,-0.9222433636494883,0.0011129332522299097,away_from_healthy
Mean step jerk Y during swing - knee (m/s^3),0.0016509084626554708,-17.026876615994617,-0.6505045406920555,0.0010739234512243245,away_from_healthy
Mean step jerk Y during swing - ankle (m/s^3),0.0009629893700895269,-21.31164874342754,-1.0566515425834613,0.0010175442033965743,away_from_healthy
Mean step jerk Y during stance - ankle (m/s^3),0.0018980073041440738,-14.196733235499977,-0.5298480273773163,0.0010056554260484754,away_from_healthy
Mean phase excursion - rhindlimb - lHindpaw (°),0.0008807441833528792,-10.791839400325756,-0.8807243576554425,0.0007756928551422319,away_from_healthy
Mean angle excursion - rhindlimb - lHindpaw (°),0.006961115281833653,-0.9282786183373233,-0.10367287433276472,0.0007216788298294284,away_from_healthy
Mean step velocity Y during swing - lHindpaw (m/s),0.002075559816457824,-0.0014449822371935227,-0.3162752356354647,0.0006564481700257001,away_from_healthy
Mean step velocity X during swing - lHindfingers (m/s),0.0015427939597322305,-0.026647977282125535,-0.3435206202245191,0.0005299815379258576,away_from_healthy
Mean step jerk Y during stance - lHindpaw (m/s^3),0.0037971951359532887,3.1607979186448247,0.11149696399628194,0.00042337572936024075,towards_healthy
Mean step acceleration Y during stance - hip (m/s^2),0.004231348111487035,-0.02561694232280072,-0.09951246706127068,0.00042107188956912346,away_from_healthy
Mean step jerk Y during swing - lHindpaw (m/s^3),0.0007428970006975124,-9.746151283325268,-0.3559486747850716,0.00026443320290008395,away_from_healthy
Mean step velocity X during swing - lHindpaw (m/s),0.0011225492456261692,-0.011718449874200676,-0.15765480629309553,0.00017697528387365422,away_from_healthy
