feature,value 1,value 2
Mean angle acceleration - rhindlimb - ankle (rad/s^2),-92.0±22.4,-86.6±13.9°
Mean angle acceleration during swing - rhindlimb - hip (rad/s^2),0.1±1.1,-0.7±0.9°
Mean angle at peak - rhindlimb - ankle (°),66.8±11.0,57.6±4.4°
Mean angle at peak - rhindlimb - knee (°),89.8±2.6,86.6±2.6°
Mean angle at peak - rhindlimb - lHindfingers (°),126.0±17.7,144.3±12.8°
Mean angle at peak - rhindlimb - lHindpaw (°),162.3±5.5,156.9±3.6°
Mean angle at stance - rhindlimb - hip (°),127.4±2.9,123.8±2.1°
Mean angle at stance - rhindlimb - lHindfingers (°),175.8±1.3,174.1±1.2°
Mean angle at stance - rhindlimb - lHindpaw (°),151.2±4.4,146.0±3.4°
Mean angle at swing - rhindlimb - ankle (°),96.8±5.5,91.3±6.9°
Mean angle at swing - rhindlimb - lHindfingers (°),118.4±8.1,127.5±8.6°
Mean angle at touchdown - rhindlimb - hip (°),130.3±2.7,127.8±2.0°
Mean angle at touchdown - rhindlimb - lHindfingers (°),175.3±1.1,173.5±1.2°
Mean angle at touchdown - rhindlimb - lHindpaw (°),153.6±4.2,148.9±4.2°
Mean angle during stance - rhindlimb - knee (°),1.6±0.0,1.6±0.0°
Mean angle during stance - rhindlimb - lHindfingers (°),2.7±0.1,2.8±0.1°
Mean angle during stance - rhindlimb - lHindpaw (°),2.5±0.1,2.4±0.0°
Mean angle during swing - rhindlimb - lHindfingers (°),2.5±0.1,2.6±0.1°
Mean angle during swing - rhindlimb - lHindpaw (°),2.8±0.0,2.7±0.0°
Mean angle excursion - rhindlimb - ankle (°),86.98±9.04,67.16±8.46
Mean angle value - rhindlimb - lHindfingers (°),152.0±4.3,156.2±3.5°
Mean angle value - rhindlimb - lHindpaw (°),152.0±2.8,146.9±1.8°
Mean angle velocity - rhindlimb - ankle (rad/s),-0.0±0.1,-0.1±0.1°
Mean angle velocity - rhindlimb - knee (rad/s),-0.0±0.0,-0.1±0.1°
Mean angle velocity at peak - rhindlimb - ankle (rad/s),-22.2±8.9,-14.4±5.9°
Mean angle velocity at peak - rhindlimb - hip (rad/s),11.0±2.6,13.9±2.7°
Mean angle velocity at peak - rhindlimb - lHindpaw (rad/s),8.4±4.5,2.0±7.5°
Mean angle velocity at stance - rhindlimb - hip (rad/s),-4.4±5.9,-9.0±1.5°
Mean angle velocity at stance - rhindlimb - lHindpaw (rad/s),-5.5±7.4,-11.3±3.0°
Mean angle velocity at swing - rhindlimb - ankle (rad/s),2.5±4.9,0.8±2.3°
Mean angle velocity at swing - rhindlimb - knee (rad/s),0.7±2.1,-2.7±0.9°
Mean angle velocity at touchdown - rhindlimb - hip (rad/s),-5.1±2.4,-7.0±1.9°
Mean angle velocity at touchdown - rhindlimb - knee (rad/s),1.2±1.3,2.5±1.9°
Mean angle velocity during stance - rhindlimb - lHindpaw (rad/s),-0.1±1.1,0.7±0.9°
Mean angle velocity during swing - rhindlimb - ankle (rad/s),0.3±0.9,-0.7±1.0°
