feature,importance,change_score,change_effect_size,combined_rank,direction
Mean angle excursion - rhindlimb - ankle (°),0.02764316854152132,-7.819830301572296,-0.8952815923125351,0.024748419948416988,away_from_healthy
Mean angle at touchdown - rhindlimb - lHindfingers (°)_cos,0.026052335349246728,0.0020074277716568556,0.9066542273304489,0.02362045997622503,towards_healthy
Mean angle at touchdown - rhindlimb - lHindfingers (°)_sin,0.02347279653963124,0.017305443538702003,0.829459809827531,0.019469741353882856,towards_healthy
Mean step acceleration Y at touchdown - ankle (m/s^2),0.01358423718652152,1.9177339871348273,1.3506512157907478,0.01834756647156518,towards_healthy
Mean step jerk Y at peak - lHindfingers (m/s^3),0.05071082182118439,-140.06844758255193,-0.3105605060210868,0.015748778485532196,away_from_healthy
Mean angle at stance - rhindlimb - lHindpaw (°)_sin,0.008777806712681233,0.0943506269557054,1.4605684764953744,0.012820587777311697,towards_healthy
Mean angle value - rhindlimb - lHindpaw (°)_sin,0.017477960823053338,0.030156226588191726,0.7260965749271652,0.012690687490330206,towards_healthy
Mean step acceleration Y at touchdown - lHindfingers (m/s^2),0.015474721835377677,1.8449842329771737,0.7852185619825709,0.012151038826655549,towards_healthy
Mean phase excursion - rhindlimb - ankle (°),0.012920843753972783,-6.268267813674939,-0.8126368288558709,0.010499953494370629,away_from_healthy
Mean angle at stance - rhindlimb - lHindpaw (°)_cos,0.007106299822963924,0.056059397058385696,1.3522437773139653,0.0096094497153303,towards_healthy
Mean step acceleration Y during stance - knee (m/s^2),0.008710472840117932,0.389837973627539,1.020976494491187,0.0088931880256643,towards_healthy
Mean angle during swing - rhindlimb - lHindpaw (°)_cos,0.01685868463903924,1.757484351838645e-05,0.4818931132756821,0.008124084026439538,towards_healthy
Mean phase at touchdown - rhindlimb - lHindpaw (°)_cos,0.008112841490348167,0.0016994219922153997,0.9986064251218936,0.008101535638257159,towards_healthy
Mean angle during swing - rhindlimb - lHindpaw (°)_sin,0.01561679324182592,0.0003718503328464656,0.4911584300656322,0.007670319651314794,towards_healthy
Mean angle at touchdown - rhindlimb - lHindpaw (°)_sin,0.00808782735529538,0.061248347564369476,0.8766195449693792,0.007089947535989934,towards_healthy
Mean angle value - rhindlimb - lHindpaw (°)_cos,0.008365117390335837,0.019220399984519854,0.7866744430284532,0.006580624063910073,towards_healthy
Mean step acceleration Y at touchdown - lHindpaw (m/s^2),0.005701800447525781,3.217691575218536,1.15064857604377,0.00656076856583127,towards_healthy
Mean angle at stance - rhindlimb - hip (°)_cos,0.008391098854217892,0.030266361473858416,0.7233070070270097,0.006069340597912113,towards_healthy
Mean step acceleration X during stance - ankle (m/s^2),0.010548887004720717,0.2702405466155845,0.5704180534074758,0.006017275590848209,towards_healthy
Mean angle velocity - rhindlimb - knee (rad/s)_sin,0.008233387615445443,0.025719074141259665,0.6568039484489568,0.005407721494935309,towards_healthy
Mean angle during stance - rhindlimb - lHindpaw (°)_cos,0.007136541887793698,3.7544223580598945e-05,0.7185506503619062,0.0051279668148091475,towards_healthy
Mean angle velocity - rhindlimb - knee (rad/s)_cos,0.006128866633008976,0.0024083602985597308,0.8201546856905785,0.005026618687034951,towards_healthy
Mean angle during stance - rhindlimb - lHindpaw (°)_sin,0.006645847694237673,0.0008774689725096485,0.7305315330797569,0.004855001304686015,towards_healthy
Mean phase at stance - rhindlimb - lHindpaw (°)_cos,0.005180457354192909,0.0013136077492612586,0.8666852886532073,0.004489826177374311,towards_healthy
