feature,importance,change_score,change_effect_size,combined_rank,direction
Mean step velocity X during stance - ankle (m/s),0.003771722553033233,-0.025349151907048187,-0.822962639551483,0.0031039867479000873,away_from_healthy
Mean step velocity X during stance - knee (m/s),0.0032528979953834187,-0.024852242229285587,-0.6674444961390482,0.002171128863520406,away_from_healthy
Mean step acceleration Y during swing - hip (m/s^2),0.0023279904436218036,-0.17723545446822947,-0.849357590616909,0.0019772963541738043,away_from_healthy
Mean angle excursion - rhindlimb - lHindfingers (°),0.0012067674283128761,-11.444365109710859,-0.9222433636494883,0.0011129332522299097,away_from_healthy
Mean step jerk Y during swing - ankle (m/s^3),0.0009629893700895269,-21.31164874342754,-1.0566515425834613,0.0010175442033965743,away_from_healthy
Mean step jerk Y during stance - ankle (m/s^3),0.0018980073041440738,-14.196733235499977,-0.5298480273773163,0.0010056554260484754,away_from_healthy
Mean step jerk Y during swing - hip (m/s^3),0.002792122861058505,-5.221179438719318,-0.32612730767337933,0.0009105875113703032,away_from_healthy
Mean phase excursion - rhindlimb - lHindpaw (°),0.0008807441833528792,-10.791839400325756,-0.8807243576554425,0.0007756928551422319,away_from_healthy
Mean angle excursion - rhindlimb - lHindpaw (°),0.006961115281833653,-0.9282786183373233,-0.10367287433276472,0.0007216788298294284,away_from_healthy
Mean step length (m),0.0010147836194589444,-0.0033806628840849645,-0.606881574175118,0.0006158534804243681,away_from_healthy
Mean step velocity X during swing - lHindfingers (m/s),0.0015427939597322305,-0.026647977282125535,-0.3435206202245191,0.0005299815379258576,away_from_healthy
Mean step jerk Y during stance - lHindpaw (m/s^3),0.0037971951359532887,3.1607979186448247,0.11149696399628194,0.00042337572936024075,towards_healthy
Mean step acceleration Y during stance - hip (m/s^2),0.004231348111487035,-0.02561694232280072,-0.09951246706127068,0.00042107188956912346,away_from_healthy
Mean step velocity X during swing - lHindpaw (m/s),0.0011225492456261692,-0.011718449874200676,-0.15765480629309553,0.00017697528387365422,away_from_healthy
Mean step velocity X during stance - hip (m/s),0.0006042301278733915,-0.014784975278988421,-0.26804142793497,0.00016195870627651337,away_from_healthy
Mean step velocity X during swing - ankle (m/s),0.002584672395092228,-0.0017828523402533825,-0.02787967772129213,7.205983339029156e-05,away_from_healthy
