Feature,Mean Healthy Left B,SD Healthy Left B,Mean Sick Left C,SD Sick Left C,Number of samples in Healthy Left B,Number of samples in Sick Left C,p-value Healthy Left B vs Sick Left C,Significance,Statistical Test,feature,change value,change_effect_size,direction
Mean angle acceleration - rforelimb - elbow (rad/s^2),-167.3393252605997,36.095084686069,-154.20051776228632,20.57183036539605,10,10,0.14650961750061217,n.s.,Circular,Mean angle acceleration - rforelimb - elbow (rad/s^2),-19.079627735548826,-0.649467669034738,away_from_healthy
Mean angle acceleration - rforelimb - elbow std,45.59210971972532,13.948377296539993,29.532966354651183,15.921613467411103,10,10,0.8090698608346677,n.s.,Levene,Mean angle acceleration - rforelimb - elbow std,-14.66874690854593,-0.9800367173171122,away_from_healthy
Mean angle acceleration - rforelimb - lForepaw (rad/s^2),-220.89662463517706,55.7511116037438,-200.43779759818818,28.458086556046386,10,10,0.14212148338245387,n.s.,Circular,Mean angle acceleration - rforelimb - lForepaw (rad/s^2),-33.11060332793443,-0.7480784655096909,away_from_healthy
Mean angle acceleration - rforelimb - lForepaw std,72.06679203046266,24.4313763850861,48.03909938545092,29.326396016761308,10,10,0.6832547346141646,n.s.,Levene,Mean angle acceleration - rforelimb - lForepaw std,-8.40387576828956,-0.31136896991017216,away_from_healthy
Mean angle acceleration - rforelimb - shoulder (rad/s^2),-82.47301340123917,16.628176109300597,-75.09374151961617,14.83911570828911,10,10,0.05558906376825393,n.s.,Circular,Mean angle acceleration - rforelimb - shoulder (rad/s^2),-8.538385912793359,-0.5418082618958174,away_from_healthy
Mean angle acceleration - rforelimb - shoulder std,27.76746503073277,13.13919154880584,17.563649378166133,6.160059843547623,10,10,0.0034759239195993404,**,Levene,Mean angle acceleration - rforelimb - shoulder std,0.6265046371251763,0.0610556541827316,towards_healthy
Mean angle acceleration - rforelimb - wrist (rad/s^2),-209.80394545137014,43.5365278939088,-192.89719046228456,34.55843877757393,10,10,0.6178310487976286,n.s.,Circular,Mean angle acceleration - rforelimb - wrist (rad/s^2),-14.162276542382557,-0.3603204083677544,away_from_healthy
Mean angle acceleration - rforelimb - wrist std,61.408417048803344,28.102268601447953,32.341286374778655,19.13467641108863,10,10,0.1655162364150443,n.s.,Levene,Mean angle acceleration - rforelimb - wrist std,-5.251146376308974,-0.21843086141204984,away_from_healthy
Mean angle acceleration - rhindlimb - ankle (rad/s^2),-97.6780695148149,22.595118285138753,-86.7007356810461,14.5833773687915,10,10,0.14125197677304935,n.s.,Circular,Mean angle acceleration - rhindlimb - ankle (rad/s^2),-9.11610596387196,-0.4793920972087302,away_from_healthy
Mean angle acceleration - rhindlimb - ankle std,31.80137772197039,11.641895238498508,15.215455879134733,5.369469886849096,10,10,0.06941064493358082,n.s.,Levene,Mean angle acceleration - rhindlimb - ankle std,-0.127711869538377,-0.014087751379642261,away_from_healthy
