Feature,Mean Healthy Left C,SD Healthy Left C,Mean Sick Left E,SD Sick Left E,Number of samples in Healthy Left C,Number of samples in Sick Left E,p-value Healthy Left C vs Sick Left E,Significance,Statistical Test,feature,change value,change_effect_size,direction
Mean angle acceleration - rforelimb - elbow (rad/s^2),-148.59685845345538,27.490864949198134,-135.1208900267375,18.157005127308135,10,10,0.0552853834929328,n.s.,Circular,Mean angle acceleration - rforelimb - elbow (rad/s^2),-19.079627735548826,-0.649467669034738,away_from_healthy
Mean angle acceleration - rforelimb - elbow std,49.085045408157406,35.62848194494497,14.864219446105253,5.470454686252509,10,10,0.028065291898225923,*,Levene,Mean angle acceleration - rforelimb - elbow std,-14.66874690854593,-0.9800367173171122,away_from_healthy
Mean angle acceleration - rforelimb - lForepaw (rad/s^2),-184.5459718877806,35.408560523520514,-167.32719427025376,22.38813946045476,10,10,0.8696575652472436,n.s.,Circular,Mean angle acceleration - rforelimb - lForepaw (rad/s^2),-33.11060332793443,-0.7480784655096909,away_from_healthy
Mean angle acceleration - rforelimb - lForepaw std,70.27189272887568,49.937285076850706,39.63522361716136,21.549115716015937,10,10,0.18008368273570463,n.s.,Levene,Mean angle acceleration - rforelimb - lForepaw std,-8.40387576828956,-0.31136896991017216,away_from_healthy
Mean angle acceleration - rforelimb - shoulder (rad/s^2),-73.98729805876528,19.479517811893654,-66.55535560682281,11.503019725440701,10,10,0.7039934130666357,n.s.,Circular,Mean angle acceleration - rforelimb - shoulder (rad/s^2),-8.538385912793359,-0.5418082618958174,away_from_healthy
Mean angle acceleration - rforelimb - shoulder std,24.250825285615957,15.704990422143347,18.19015401529131,9.047719003193919,10,10,0.7794109763478521,n.s.,Levene,Mean angle acceleration - rforelimb - shoulder std,0.6265046371251763,0.0610556541827316,towards_healthy
Mean angle acceleration - rforelimb - wrist (rad/s^2),-190.30368926454005,43.13815754157389,-178.734913919902,22.753673386838255,10,10,0.5574508420961927,n.s.,Circular,Mean angle acceleration - rforelimb - wrist (rad/s^2),-14.162276542382557,-0.3603204083677544,away_from_healthy
Mean angle acceleration - rforelimb - wrist std,58.15453232580241,43.476599043617654,27.09013999846968,18.580066009286114,10,10,0.32833794631755625,n.s.,Levene,Mean angle acceleration - rforelimb - wrist std,-5.251146376308974,-0.21843086141204984,away_from_healthy
Mean angle acceleration - rhindlimb - ankle (rad/s^2),-84.41525500487685,21.327486507618257,-77.58462971717414,11.145552272469383,10,10,0.6119017892836903,n.s.,Circular,Mean angle acceleration - rhindlimb - ankle (rad/s^2),-9.11610596387196,-0.4793920972087302,away_from_healthy
Mean angle acceleration - rhindlimb - ankle std,25.878191657455865,23.14719162607523,15.087744009596355,10.019839036724772,10,10,0.35501501136589597,n.s.,Levene,Mean angle acceleration - rhindlimb - ankle std,-0.127711869538377,-0.014087751379642261,away_from_healthy
Mean angle acceleration - rhindlimb - hip (rad/s^2),-138.6502916389711,27.521083903643163,-127.79275089564422,15.234815449311219,10,10,0.5288629956890418,n.s.,Circular,Mean angle acceleration - rhindlimb - hip (rad/s^2),-8.951672630546597,-0.3018424615343547,away_from_healthy
Mean angle acceleration - rhindlimb - hip std,45.316964206020586,30.213615408173972,15.761058998008565,8.213932439487534,10,10,0.013213046088153204,*,Levene,Mean angle acceleration - rhindlimb - hip std,-9.933713068980598,-0.5657152781107075,away_from_healthy
Mean angle acceleration - rhindlimb - knee (rad/s^2),-120.39333959425292,23.96435136517161,-112.34489503352134,13.679692172491276,10,10,0.047839471143343325,*,Circular,Mean angle acceleration - rhindlimb - knee (rad/s^2),-12.040035099271336,-0.5001529367265376,away_from_healthy
Mean angle acceleration - rhindlimb - knee std,37.47106129445095,29.51596697669131,13.42081483514292,8.818731065955234,10,10,0.04996037303398524,*,Levene,Mean angle acceleration - rhindlimb - knee std,-7.605681424307502,-0.6489951834273014,away_from_healthy
Mean angle acceleration - rhindlimb - lHindfingers (rad/s^2),-206.73482393319523,39.31051565912263,-194.9834055673534,19.60843742105266,10,10,0.3829659628238806,n.s.,Circular,Mean angle acceleration - rhindlimb - lHindfingers (rad/s^2),-17.298187177260246,-0.4059483978274429,away_from_healthy
