Feature,Statistical Test,Global p-value,Global significance,Mean Healthy Left B,SD Healthy Left B,Number of samples in Healthy Left B,Mean Sick Left C,SD Sick Left C,Number of samples in Sick Left C,Mean Sick Left E,SD Sick Left E,Number of samples in Sick Left E,p-value Healthy Left B vs Sick Left C,Significance Healthy Left B vs Sick Left C,p-value Healthy Left B vs Sick Left E,Significance Healthy Left B vs Sick Left E,p-value Sick Left C vs Sick Left E,Significance Sick Left C vs Sick Left E,feature,change value,change_effect_size,direction
Mean angle acceleration - rforelimb - elbow (rad/s^2),Circular,0.04258416722370841,*,-167.3393252605997,36.095084686069,10,-154.20051776228632,20.57183036539605,10,-135.1208900267375,18.157005127308135,10,0.4395288525018365,n.s.,0.01417774906550747,*,0.8948951937570367,n.s.,Mean angle acceleration - rforelimb - elbow (rad/s^2),-19.079627735548826,-0.649467669034738,away_from_healthy
Mean angle acceleration - rforelimb - elbow std,Levene,0.15332293695753846,n.s.,45.59210971972532,13.948377296539993,10,29.532966354651183,15.921613467411103,10,14.864219446105253,5.470454686252509,10,1.0,n.s.,0.1730560749824427,n.s.,0.22720352418600465,n.s.,Mean angle acceleration - rforelimb - elbow std,-14.66874690854593,-0.9800367173171122,away_from_healthy
Mean angle acceleration - rforelimb - lForepaw (rad/s^2),Circular,0.014646122323667507,*,-220.89662463517706,55.7511116037438,10,-200.43779759818818,28.458086556046386,10,-167.32719427025376,22.38813946045476,10,0.4263644501473616,n.s.,1.0,n.s.,0.7864727887731422,n.s.,Mean angle acceleration - rforelimb - lForepaw (rad/s^2),-33.11060332793443,-0.7480784655096909,away_from_healthy
Mean angle acceleration - rforelimb - lForepaw std,Levene,0.7770353556331924,n.s.,72.06679203046266,24.4313763850861,10,48.03909938545092,29.326396016761308,10,39.63522361716136,21.549115716015937,10,1.0,n.s.,1.0,n.s.,1.0,n.s.,Mean angle acceleration - rforelimb - lForepaw std,-8.40387576828956,-0.31136896991017216,away_from_healthy
Mean angle acceleration - rforelimb - shoulder (rad/s^2),Circular,0.0675367053052756,n.s.,-82.47301340123917,16.628176109300597,10,-75.09374151961617,14.83911570828911,10,-66.55535560682281,11.503019725440701,10,0.16676719130476178,n.s.,0.37890395864622306,n.s.,1.0,n.s.,Mean angle acceleration - rforelimb - shoulder (rad/s^2),-8.538385912793359,-0.5418082618958174,away_from_healthy
Mean angle acceleration - rforelimb - shoulder std,Levene,0.006390544054854686,**,27.76746503073277,13.13919154880584,10,17.563649378166133,6.160059843547623,10,18.19015401529131,9.047719003193919,10,0.010427771758798023,*,0.26106979487724513,n.s.,0.28264752045441366,n.s.,Mean angle acceleration - rforelimb - shoulder std,0.6265046371251763,0.0610556541827316,towards_healthy
Mean angle acceleration - rforelimb - wrist (rad/s^2),Circular,0.08934896943033395,n.s.,-209.80394545137014,43.5365278939088,10,-192.89719046228456,34.55843877757393,10,-178.734913919902,22.753673386838255,10,1.0,n.s.,0.8369900409259556,n.s.,1.0,n.s.,Mean angle acceleration - rforelimb - wrist (rad/s^2),-14.162276542382557,-0.3603204083677544,away_from_healthy
Mean angle acceleration - rforelimb - wrist std,Levene,0.2560694317758101,n.s.,61.408417048803344,28.102268601447953,10,32.341286374778655,19.13467641108863,10,27.09013999846968,18.580066009286114,10,0.49654870924513295,n.s.,0.5668683803546726,n.s.,1.0,n.s.,Mean angle acceleration - rforelimb - wrist std,-5.251146376308974,-0.21843086141204984,away_from_healthy
Mean angle acceleration - rhindlimb - ankle (rad/s^2),Circular,0.04302442714516886,*,-97.6780695148149,22.595118285138753,10,-86.7007356810461,14.5833773687915,10,-77.58462971717414,11.145552272469383,10,0.42375593031914793,n.s.,0.6349217924924586,n.s.,1.0,n.s.,Mean angle acceleration - rhindlimb - ankle (rad/s^2),-9.11610596387196,-0.4793920972087302,away_from_healthy
Mean angle acceleration - rhindlimb - ankle std,Levene,0.20656106303364521,n.s.,31.80137772197039,11.641895238498508,10,15.215455879134733,5.369469886849096,10,15.087744009596355,10.019839036724772,10,0.20823193480074242,n.s.,1.0,n.s.,0.4788387376262525,n.s.,Mean angle acceleration - rhindlimb - ankle std,-0.127711869538377,-0.014087751379642261,away_from_healthy
